,rbfsvm,lightgbm,gbc
peptide_131,0,0,0
peptide_132,0,1,0
peptide_133,1,0,1
peptide_134,1,1,1
peptide_135,0,0,0
peptide_136,1,0,1
peptide_137,0,1,1
peptide_138,1,1,0
peptide_139,1,0,1
peptide_140,0,0,0
peptide_141,1,1,1
peptide_142,0,0,0
peptide_143,1,1,1
peptide_144,1,1,1
peptide_145,1,1,1
peptide_146,1,1,1
peptide_147,0,0,0
peptide_148,0,0,0
peptide_1,0,0,0
peptide_2,1,1,0
peptide_3,0,0,0
peptide_4,0,0,0
peptide_5,1,1,1
peptide_6,1,1,1
peptide_7,1,0,0
peptide_8,1,0,1
peptide_9,1,1,1
peptide_10,0,0,0
peptide_11,1,0,1
peptide_12,0,0,0
peptide_13,1,1,1
peptide_14,0,1,0
peptide_15,0,0,1
peptide_16,1,0,0
peptide_17,1,0,1
peptide_18,0,0,0
peptide_19,1,0,1
peptide_20,1,1,1
peptide_21,0,0,0
peptide_22,0,0,0
peptide_23,1,1,1
peptide_24,0,1,0
peptide_25,1,1,1
peptide_26,1,1,1
peptide_27,0,0,0
peptide_28,1,0,1
peptide_29,1,0,1
peptide_30,0,0,1
peptide_31,1,1,1
peptide_32,0,0,1
peptide_33,1,1,1
peptide_34,1,1,1
peptide_35,0,0,0
peptide_36,1,1,1
peptide_37,1,1,1
peptide_38,0,0,1
peptide_39,1,0,0
peptide_40,1,1,1
peptide_41,1,1,1
peptide_42,1,1,1
peptide_43,1,0,1
peptide_44,1,1,1
peptide_45,1,1,1
peptide_46,1,1,0
peptide_47,0,1,0
peptide_48,0,0,1
peptide_49,1,0,1
peptide_50,1,1,1
peptide_51,1,1,1
peptide_52,0,0,0
peptide_53,1,1,1
peptide_54,0,1,1
peptide_55,1,1,0
peptide_56,1,1,1
peptide_57,0,0,0
peptide_58,0,0,0
peptide_59,1,0,1
peptide_60,1,0,1
peptide_61,1,1,1
peptide_62,1,1,1
peptide_63,0,0,0
peptide_64,0,0,0
peptide_65,1,1,1
peptide_66,1,1,1
peptide_67,1,1,1
peptide_68,0,0,0
peptide_69,1,1,0
peptide_70,1,1,1
peptide_71,1,1,1
peptide_72,1,1,1
peptide_73,1,1,1
peptide_74,0,1,1
peptide_75,1,1,1
peptide_76,1,1,1
peptide_77,1,1,1
peptide_78,1,1,1
peptide_79,1,1,1
peptide_80,1,1,0
peptide_81,1,1,1
peptide_82,1,1,1
peptide_83,1,1,1
peptide_84,1,1,1
peptide_85,0,0,0
peptide_86,1,1,1
peptide_87,1,1,1
peptide_88,1,1,1
peptide_89,1,1,0
peptide_90,1,1,0
peptide_91,1,1,1
peptide_92,1,1,1
peptide_93,1,1,1
peptide_94,1,1,1
peptide_95,1,1,1
peptide_96,1,1,1
peptide_97,1,1,1
peptide_98,1,1,1
peptide_99,1,1,1
peptide_100,1,1,1
peptide_101,1,1,1
peptide_102,1,1,1
peptide_103,1,1,1
peptide_104,1,1,1
peptide_105,1,1,1
peptide_106,1,1,1
peptide_107,1,1,1
peptide_108,1,1,1
peptide_109,1,1,1
peptide_110,1,1,1
peptide_111,1,1,1
peptide_112,1,1,1
peptide_113,0,0,0
peptide_114,1,1,1
peptide_115,1,1,1
peptide_116,1,1,1
peptide_117,1,1,0
peptide_118,1,1,1
peptide_119,1,0,1
peptide_120,1,1,1
peptide_121,1,1,1
peptide_122,1,1,1
peptide_123,1,1,1
peptide_124,0,0,0
peptide_125,1,1,1
peptide_126,1,1,1
peptide_127,0,1,1
peptide_128,1,1,1
peptide_129,0,1,1
peptide_130,1,1,1
peptide_131,0,1,1
peptide_132,1,1,1
peptide_133,1,1,1
peptide_134,1,1,1
peptide_135,1,1,1
peptide_136,1,1,1
peptide_137,1,1,1
peptide_138,1,1,1
peptide_139,1,1,1
peptide_140,1,1,1
peptide_141,0,1,1
peptide_142,1,0,1
peptide_143,1,1,1
peptide_144,1,1,1
peptide_145,0,1,1
peptide_146,1,1,1
peptide_147,1,1,1
peptide_148,1,1,1
peptide_149,1,1,1
peptide_150,1,1,1
peptide_151,1,1,1
peptide_152,1,0,1
peptide_153,1,1,1
peptide_154,1,1,1
peptide_155,1,1,1
peptide_156,1,1,1
peptide_157,0,0,0
peptide_158,0,0,0
peptide_159,0,1,1
peptide_160,1,0,0
peptide_161,0,0,0
peptide_162,1,1,1
peptide_163,1,1,1
peptide_164,0,0,0
peptide_165,1,1,1
peptide_166,0,0,0
peptide_167,1,1,0
peptide_168,0,1,1
peptide_169,0,0,0
peptide_170,1,1,1
peptide_171,1,1,1
peptide_172,0,1,1
peptide_173,1,1,1
peptide_174,0,1,0
peptide_175,0,0,0
peptide_176,0,0,0
peptide_177,0,1,0
